,artist,title
680,Firehouse,Love Of A Lifetime
681,Five,When The Lights Go Out
682,Fleetwood Mac,Say You Love Me
683,Fleetwood Mac,Hold Me
684,Fleetwood Mac,Dreams
685,Fleetwood Mac,Little Lies
686,Fleetwood Mac,Don't Stop
687,Flo Rida,Sugar
688,Flo Rida,I Cry
689,Flo Rida,G.D.F.R.
690,Flo Rida,In The Ayer
691,Flo Rida,Club Can't Handle Me
692,Florida Georgia Line,Dirt
693,Florida Georgia Line,This Is How We Roll
694,Foo Fighters,Best Of You
695,Foreigner,Cold As Ice
696,Foreigner,Hot Blooded
697,Foreigner,Say You Will
698,Foreigner,Feels Like The First Time
699,Foreigner,Urgent
700,Fort Minor,Where'd You Go
701,Four Tops,Still Water
702,Four Tops,Ain't No Woman
703,Four Tops,Baby I Need Your Loving
704,Foxy Brown,I'll Be
705,Frankie J,Don't Wanna Try
706,Frankie J,Obsession
707,Freda Payne,Bring The Boys Home
708,Friend and Lover,Reach Out Of The Darkness
709,Frijid Pink,House Of The Rising Sun
710,Game,Hate It Or Love It
711,"Gary ""U.S."" Bonds",School Is Out
712,"Gary ""U.S."" Bonds",Quarter To Three
713,Gary Lewis and The Playboys,Save Your Heart For Me
714,Gary Lewis and The Playboys,Count Me In
715,Gary U.S. Bonds,This Little Girl
716,Gary U.S. Bonds,Dear Lady Twist
717,Gavin DeGraw,I Don't Want To Be
718,Gavin DeGraw,Not Over You
719,Gene Chandler,Groovy Situation
720,Gene Pitney,The Man Who Shot Liberty Valance
721,Gene Pitney,It Hurts To Be In Love
722,George Benson,On Broadway
723,George Benson,This Masquerade
724,George Benson,Turn Your Love Around
725,George Harrison,Give Me Love
726,George Harrison,All Those Years Ago
727,George McCrae,Rock Your Baby
728,George Michael,Too Funky
729,George Michael,Father Figure
730,George Michael,Monkey
731,George Michael,Praying For Time
732,George Michael,Don't Let The Sun Go Down On Me
733,George Michael,Fastlove
734,George Michael,I Want Your Sex
735,Georgia Satellites,Keep Your Hands To Yourself
736,Georgie Fame,The Ballad Of Bonnie And Clyde
737,Gerry Rafferty,Baker Street
738,Gerry and The Pacemakers,Don't Let The Sun Catch You Crying
739,Gerry and The Pacemakers,Ferry Cross The Mersey
740,Gilbert O'Sullivan,Clair
741,Gilbert O'Sullivan,Get Down
742,Gin Blossoms,Found Out About You
743,Gina G,Ooh Aah... Just A Little Bit
744,Gino Vannelli,Living Inside Myself
