Track name, Artist name, Album, Playlist name, Type, ISRC
Don't Cry for Me Argentina,Madonna,Evita: The Complete Motion Picture Music Soundtrack,non_hits,Playlist track,USWB19600674
Someone (feat. Puff Daddy),SWV,Release Some Tension,non_hits,Playlist track,USRC19706025
Go the Distance,Michael Bolton,All That Matters,non_hits,Playlist track,USSM10411310
Coco Jamboo,Mr. President,We See The Same Sun,non_hits,Playlist track,DEBS80500020
Twisted,Keith Sweat,Keith Sweat,non_hits,Playlist track,USEE19694711
You Must Love Me,Madonna,Evita: The Complete Motion Picture Music Soundtrack,non_hits,Playlist track,USWB19600680
Let It Go,Ray J,R&B Classics,non_hits,Playlist track,USEW19601702
Heartbreaker,Dionne Warwick,Heartbreaker,non_hits,Playlist track,USAR18200009
Faithfully,Journey,Greatest Hits,non_hits,Playlist track,USSM19932791
Steppin' Out,Joe Jackson,Night And Day,non_hits,Playlist track,GBAAM8200001
(She's) Sexy and 17,Stray Cats,Rant 'N' Rave With The Stray Cats,non_hits,Playlist track,GBARK8300047
Dead Giveaway,Shalamar,The Look,non_hits,Playlist track,GBAJE8300163
Lawyers in Love,Jackson Browne,Lawyers in Love,non_hits,Playlist track,USEE10170192
What About Me?,Moving Pictures,Days of Innocence,non_hits,Playlist track,AUBM08246101
Human Nature,Michael Jackson,Thriller 25 Super Deluxe Edition,non_hits,Playlist track,USSM19902992
Photograph,Def Leppard,Pyromania,non_hits,Playlist track,GBF088300067
Pass The Dutchie,Musical Youth,Anthology,non_hits,Playlist track,GBBBY0300024
True - Single Edit,Spandau Ballet,True - The Digital E.P.,non_hits,Playlist track,GBAYK8300004
I've Got a Rock 'N' Roll Heart,Eric Clapton,Money and Cigarettes (2007 Remaster),non_hits,Playlist track,USWB18300029
Tonight I Celebrate My Love,Peabo Bryson,Born To Love,non_hits,Playlist track,USCA28300012
You Got Lucky,Tom Petty and the Heartbreakers,Long After Dark,non_hits,Playlist track,USMC18241697
Breaking Us In Two,Joe Jackson,Night And Day,non_hits,Playlist track,GBAAM8200003
Fall in Love with Me,"Earth, Wind & Fire",Powerlight,non_hits,Playlist track,USSM10023896
"Baby, I Need Your Lovin'",Johnny Rivers,Rewind,non_hits,Playlist track,USEM38700099
You're All I Need To Get By,Marvin Gaye,Motown The Musical Originals - 14 Classic Songs That Inspired The Broadway Show!,non_hits,Playlist track,USMO19582695
Do You Know the Way to San Jose - 2013 Remaster,Dionne Warwick,Playlist: The Best of Dionne Warwick,non_hits,Playlist track,USRH11506314
The Mighty Quinn,Manfred Mann,'60s Pop Number 1's,non_hits,Playlist track,GBF080080379
I Say a Little Prayer,Aretha Franklin,Aretha Now,non_hits,Playlist track,USAT20801207
Think,Aretha Franklin,Aretha Now,non_hits,Playlist track,USAT20801206
Sealed With A Kiss - Remastered,Gary Lewis & The Playboys,Now!,non_hits,Playlist track,USEM39000283
Piece of My Heart,Big Brother & The Holding Company,Cheap Thrills,non_hits,Playlist track,USSM16800982
"Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'",U2,The Best Of 1990-2000,non_hits,Playlist track,GBAAN0201228
Good,Better Than Ezra,Deluxe,non_hits,Playlist track,USEE10001294
Turn the Beat Around,Gloria Estefan,"Hold Me, Thrill Me, Kiss Me",non_hits,Playlist track,USSM19400324
1st of Tha Month,Bone Thugs-N-Harmony,E. 1999 Eternal,non_hits,Playlist track,US23S9528112
I Live My Life for You,Firehouse,Good Acoustics,non_hits,Playlist track,USSM19602675
Cotton Eye Joe,Rednex,Sex & Violins,non_hits,Playlist track,DEA319600881
Thank You,Boyz II Men,II,non_hits,Playlist track,USMO19400353
I'll Stand by You - 2006 Remaster,Pretenders,Pirate Radio,non_hits,Playlist track,GBAHT0600127
Best Friend,Brandy,Brandy,non_hits,Playlist track,USAT20901759
Misery,Soul Asylum,Let Your Dim Light Shine,non_hits,Playlist track,USSM19504722
Can't Stop Lovin' You,Van Halen,Balance,non_hits,Playlist track,USWB19400238
It's Now Or Never,John Schneider,Now Or Never,non_hits,Playlist track,USVR10500119
Treat Me Right,Pat Benatar,Crimes Of Passion,non_hits,Playlist track,USCH38400008
What Kind of Fool (feat. Barry Gibb),Barbra Streisand,Guilty,non_hits,Playlist track,USSM10209148
Watching The Wheels - Remastered 2010,John Lennon,Double Fantasy: Stripped Down,non_hits,Playlist track,USTO11000022
Tell It Like It Is,Heart,Greatest Hits / Live,non_hits,Playlist track,USSM18000256
Smoky Mountain Rain,Ronnie Milsap,The Best Of Ronnie Milsap,non_hits,Playlist track,USRN18000001
I Made It Through the Rain,Barry Manilow,Barry,non_hits,Playlist track,USAR18000143
You've Lost That Lovin' Feeling,Daryl Hall & John Oates,Voices,non_hits,Playlist track,USRC10301827
