Track name, Artist name, Album, Playlist name, Type, ISRC
Lady - Remastered 2006,Kenny Rogers,Love Songs,hits,Playlist track,USCN10500371
(Just Like) Starting Over - Ultimate Mix,John Lennon,GIMME SOME TRUTH. (Deluxe),hits,Playlist track,GBUM72004313
Jessie's Girl,Rick Springfield,Jessie's Girl,hits,Playlist track,GBHCD1729201
Celebration,Kool & The Gang,Celebrate!,hits,Playlist track,USPR38007190
Kiss on My List,Daryl Hall & John Oates,Voices,hits,Playlist track,USRC10301820
I Love a Rainy Night,Eddie Rabbitt,All Time Greatest Hits,hits,Playlist track,USWB19900953
9 to 5,Dolly Parton,9 To 5 And Odd Jobs,hits,Playlist track,USRN19400384
Keep on Loving You,REO Speedwagon,The Essential REO Speedwagon,hits,Playlist track,USSM10012808
Morning Train (Nine to Five),Sheena Easton,Greatest Hits,hits,Playlist track,GBAYE8000046
Being With You,Smokey Robinson,Being With You,hits,Playlist track,USMO18100484
Rapture,Blondie,Atomic/Atomix,hits,Playlist track,USCH38700028
A Woman Needs Love (Just Like You Do),Ray Parker Jr.,A Woman Needs Love (Expanded Edition),hits,Playlist track,USAR18100116
The Tide Is High,Blondie,The Best BBQ Album In The World...Ever!,hits,Playlist track,USCH38900009
Just the Two of Us,"Grover Washington, Jr.",Winelight,hits,Playlist track,USEE10900522
Slow Hand,The Pointer Sisters,Black & White (Expanded Edition),hits,Playlist track,USRC18101745
I Love You,Climax Blues Band,Flying the Flag,hits,Playlist track,USA371622046
Call Me,Blondie,Atomic/Atomix,hits,Playlist track,USCH38900008
Magic - Live,Olivia Newton-John,Olivia's Live Hits,hits,Playlist track,USNPD0714407
Rock with You - Single Version,Michael Jackson,Off the Wall,hits,Playlist track,USSM17900817
Do That To Me One More Time,Captain & Tennille,Make Your Move,hits,Playlist track,USPR37900077
Coming Up,Paul McCartney,All The Best (UK Version),hits,Playlist track,GBCCS0700086
Funkytown,Lipps Inc.,Funkytown,hits,Playlist track,USIR20200431
It's Still Rock and Roll to Me,Billy Joel,Glass Houses,hits,Playlist track,USSM18000211
Cars,Gary Numan,The Pleasure Principle,hits,Playlist track,GBAZP9700067
Cruisin',Smokey Robinson,Where There's Smoke...,hits,Playlist track,USMO17900490
Lost In Love,Air Supply,Lost in Love,hits,Playlist track,USAR18000001
Little Jeannie,Elton John,Wind of Change,hits,Playlist track,USBC19400889
Ride Like the Wind,Christopher Cross,Christopher Cross,hits,Playlist track,USWB19901342
Upside Down,Diana Ross,Diana,hits,Playlist track,USMO18000379
Please Don't Go,KC & The Sunshine Band,Do You Wanna Go Party,hits,Playlist track,GBAYE7900015
Babe,Styx,Cornerstone,hits,Playlist track,USAM17900358
The Sign,Ace of Base,The Sign,hits,Playlist track,SEVJH0803404
I'll Make Love To You,Boyz II Men,II,hits,Playlist track,USMO19400340
The Power of Love,Céline Dion,The Colour Of My Love,hits,Playlist track,CAC220003069
Hero,Mariah Carey,Music Box,hits,Playlist track,USSM19303171
Stay (I Missed You),Lisa Loeb,Stay (I Missed You),hits,Playlist track,USGF19573414
Breathe Again,Toni Braxton,Toni Braxton,hits,Playlist track,USLF29300109
"All For Love - From ""The Three Musketeers""",Bryan Adams,Ultimate,hits,Playlist track,USAM19910000
All That She Wants,Ace of Base,The Sign,hits,Playlist track,SEVJH0803401
Don't Turn Around - 2009,Ace of Base,Don't Turn Around (The Remixes),hits,Playlist track,SEVJH0805218
Bump n' Grind,R. Kelly,12 Play,hits,Playlist track,GBAHK9300172
Again,Janet Jackson,Janet,hits,Playlist track,GBAAA9300179
I'll Remember (Theme from the Motion Picture With Honors),Madonna,Something to Remember,hits,Playlist track,USWB19903141
Whatta Man,Salt-N-Pepa,Very Necessary,hits,Playlist track,USIR20300399
Wild Night,John Mellencamp,Dance Naked,hits,Playlist track,USJM19400004
You Mean the World to Me,Toni Braxton,Toni Braxton,hits,Playlist track,USLF20000240
"Can You Feel the Love Tonight - End Title/ From ""The Lion King""/Soundtrack Version",Elton John,The Lion King,hits,Playlist track,USWD10220758
Fantastic Voyage,Coolio,It Takes a Thief,hits,Playlist track,USTB10250055
Low (feat. T-Pain),Flo Rida,Mail on Sunday,hits,Playlist track,USAT20705841
Bleeding Love,Leona Lewis,Spirit,hits,Playlist track,GBHMU0700049
No One,Alicia Keys,As I Am (Expanded Edition),hits,Playlist track,USJAY0700190
Lollipop,Lil Wayne,Tha Carter III,hits,Playlist track,USCM50800556
Apologize,Timbaland,Shock Value,hits,Playlist track,USUM70722793
No Air (feat. Chris Brown),Jordin Sparks,Jordin Sparks,hits,Playlist track,GBCTA0700277
