title,artist
Running Scared,Roy Orbison
Rush Rush,Paula Abdul
S&M,Rihanna
SOS,Rihanna
Sara Smile,Daryl Hall and John Oates
Save Tonight,Eagle-Eye Cherry
Say It Isn't So,Daryl Hall and John Oates
Say It Right,Nelly Furtado
Say My Name,Destiny's Child
Say Say Say,Paul McCartney
"Say You, Say Me",Lionel Richie
Seasons In The Sun,Terry Jacks
Secret Lovers,Atlantic Starr
See You Again,Wiz Khalifa
Self Control,Laura Branigan
Semi-Charmed Life,Third Eye Blind
Sexy And I Know It,LMFAO
Sexy Can I,Ray J
Sexyback,Justin Timberlake
Shadow Dancing,Andy Gibb
Shake It Off,Mariah Carey
Shake It Off,Taylor Swift
Shakedown,Bob Seger
Shame On The Moon,Bob Seger
She Drives Me Crazy,Fine Young Cannibals
She Loves You,Beatles
She's A Fool,Lesley Gore
Sheila,Tommy Roe
Shining Star,"Earth, Wind and Fire"
Shining Star,Manhattans
Shotgun,Jr. Walker and The All Stars
Shout,Tears For Fears
Show And Tell,Al Wilson
Show Me Love,Robin S.
Shut Up and Dance,Walk The Moon
Sideshow,Blue Magic
Silhouettes,Herman's Hermits
Silly Love Songs,Wings
Since U Been Gone,Kelly Clarkson
Single Ladies,Beyonce
Sir Duke,Stevie Wonder
Sittin' Up In My Room,Brandy
Slide,Goo Goo Dolls
Slow Hand,Pointer Sisters
Slow Twistin',Chubby Checker
Smack That,Akon
Smiling Faces Sometimes,Undisputed Truth
So Emotional,Whitney Houston
So Sick,Ne-Yo
Soldier Boy,Shirelles
Somebody That I Used To Know,Gotye
Someday,Mariah Carey
Someday,Nickelback
Somethin' Stupid,Nancy Sinatra
Soul Man,Sam and Dave
Southern Nights,Glen Campbell
Spill The Wine,Eric Burdon
Spirit In The Sky,Norman Greenbaum
St. Elmo's Fire,John Parr
Starships,Nicki Minaj
Stay,Lisa Loeb
Stay,Rihanna
Stay With Me,Sam Smith
Stayin' Alive,Bee Gees
Stereo Hearts,Gym Class Heroes
Stop! In The Name Of Love,Supremes
Straight Up,Paula Abdul
Strangers In The Night,Frank Sinatra
Stronger,Kelly Clarkson
Stuck On You,Elvis Presley
Stuck With You,Huey Lewis and The News
Sugar,Maroon 5
"Sugar, Sugar",Archies
Summer In The City,Lovin' Spoonful
Sunshine,Lil' Flip
Sunshine On My Shoulders,John Denver
Super Bass,Nicki Minaj
Surfin' U.S.A.,Beach Boys
Suspicious Minds,Elvis Presley
Sweet Caroline,Neil Diamond
Sweet Child O' Mine,Guns N' Roses
Sweet Dreams,Eurythmics
Sweet Nothin's,Brenda Lee
Sweet Soul Music,Arthur Conley
Tainted Love,Soft Cell
Take A Bow,Madonna
Take A Bow,Rihanna
"Take Me Home, Country Roads",John Denver
Take Me To Church,Hozier
Take On Me,a-ha
Talk Dirty,Jason Derulo
Team,Lorde
Tears In Heaven,Eric Clapton
Teenage Dream,Katy Perry
Telephone,Lady Gaga
Telephone Line,Electric Light Orchestra
Temperature,Sean Paul
Tha Crossroads,Bone Thugs-N-Harmony
Thank God I'm A Country Boy,John Denver
That's The Way Love Goes,Janet Jackson
The Boy Is Mine,Brandy
The Climb,Miley Cyrus
The End Of The World,Skeeter Davis
The First Time,Surface
The First Time Ever I Saw Your Face,Roberta Flack
The Flame,Cheap Trick
The Freshmen,Verve Pipe
The Heat Is On,Glenn Frey
The Hills,The Weeknd
The Hustle,Van McCoy
The Lady In Red,Chris De Burgh
The Letter,Box Tops
The Loco-Motion,Grand Funk Railroad
The Look,Roxette
The Love You Save,Jackson 5
The Middle,Jimmy Eat World
The Monster,Eminem
The Night They Drove Old Dixie Down,Joan Baez
The One Who Really Loves You,Mary Wells
The Power Of Love,Huey Lewis and The News
The Power Of Love,Celine Dion
The Reason,Hoobastank
The Sign,Ace Of Base
The Streak,Ray Stevens
The Sweet Escape,Gwen Stefani
The Tide Is High,Blondie
The Twist,Chubby Checker
The Way I Are,Timbaland
The Way It Is,Bruce Hornsby and The Range
The Way We Were,Barbra Streisand
The Way You Love Me,Faith Hill
The Way You Move,OutKast
There'll Be Sad Songs,Billy Ocean
These Boots Are Made For Walkin',Nancy Sinatra
Thinking Out Loud,Ed Sheeran
This Diamond Ring,Gary Lewis and The Playboys
This Guy's In Love With You,Herb Alpert
This Is How We Do It,Montell Jordan
This Is Why I'm Hot,Mims
This Love,Maroon 5
This Used To Be My Playground,Madonna
Thong Song,Sisqo
Three Times A Lady,Commodores
Thrift Shop,Macklemore
TiK ToK,Ke$ha
Timber,Pitbull
Time After Time,Cyndi Lauper
Tired Of Being Alone,Al Green
To Be With You,Mr. Big
To Sir With Love,Lulu
Tonight,Enrique Iglesias
Tonight's The Night,Rod Stewart
Too Busy Thinking About My Baby,Marvin Gaye
Too Much Heaven,Bee Gees
Total Eclipse Of The Heart,Bonnie Tyler
Touch Me In The Morning,Diana Ross
Touch My Body,Mariah Carey
Tragedy,Bee Gees
Trap Queen,Fetty Wap
Truly Madly Deeply,Savage Garden
Try Again,Aaliyah
Turn Down For What,DJ Snake
Twilight Zone,Golden Earring
Twisted,Keith Sweat
Two Hearts,Phil Collins
U Don't have to Call,Usher
U Got it Bad,Usher
U Remind Me,Usher
Umbrella,Rihanna
Un-Break My Heart,Toni Braxton
Unbelievable,EMF
Under The Bridge,Red Hot Chili Peppers
Until You Come Back To Me,Aretha Franklin
Unwell,matchbox twenty
Unwritten,Natasha Bedingfield
Upside Down,Diana Ross
Uptown Funk!,Mark Ronson
Use Somebody,Kings Of Leon
Vision Of Love,Mariah Carey
Viva La Vida,Coldplay
Vogue,Madonna
Waiting For A Girl Like You,Foreigner
Wake Me Up!,Avicii
Walk Like An Egyptian,Bangles
Wannabe,Spice Girls
Want To Want Me,Jason Derulo
War,Edwin Starr
Water Runs Dry,Boyz II Men
We Belong Together,Mariah Carey
We Built This City,Starship
We Can Work It Out,Beatles
We Can't Stop,Miley Cyrus
We Found Love,Rihanna
Weak,SWV
West End Girls,Pet Shop Boys
What A Fool Believes,Doobie Brothers
What A Girl Wants,Christina Aguilera
What Becomes Of The Brokenhearted,Jimmy Ruffin
What Goes Around Comes Around,Justin Timberlake
What Makes You Beautiful,One Direction
What's Going On,Marvin Gaye
What's Love Got To Do With It,Tina Turner
What's Luv?,Fat Joe
What's My Name?,Rihanna
Whatta Man,Salt-N-Pepa
When A Man Loves A Woman,Percy Sledge
When I Was Your Man,Bruno Mars
When I'm Gone,3 Doors Down
When You're In Love With A Beautiful Woman,Dr. Hook
Where Did Our Love Go,Supremes
Where Have You Been,Rihanna
Where My Girls At?,702
Where The Boys Are,Connie Francis
Wherever You Will Go,Calling
Whistle,Flo Rida
Why Me,Kris Kristofferson
Wide Awake,Katy Perry
Wild Night,John Mellencamp
Wild One,Bobby Rydell
Wild Ones,Flo Rida
Will It Go Round In Circles,Billy Preston
Windy,Association
Wishing Well,Terence Trent d'Arby
With A Little Luck,Wings
With Or Without You,U2
With You I'm Born Again,Billy Preston
Without Me,Eminem
Woman,John Lennon
Wrecking Ball,Miley Cyrus
